timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629372129615,7,get all todos,200,,jp@gc - soak test 1-497,text,true,,74985,121,4,4,http://localhost:8080/todos,6,0,0
1629372129571,36,get all todos,200,,jp@gc - soak test 1-499,text,true,,74978,121,3,3,http://localhost:8080/todos,33,0,21
1629372129660,24,get all todos,200,,jp@gc - soak test 1-496,text,true,,74977,121,5,5,http://localhost:8080/todos,9,0,2
1629372129579,29,get all todos,200,,jp@gc - soak test 1-498,text,true,,74970,121,3,3,http://localhost:8080/todos,26,0,14
1629372129571,36,get all todos,200,,jp@gc - soak test 1-500,text,true,,74970,121,3,3,http://localhost:8080/todos,33,0,21
1629372129738,14,get all todos,200,,jp@gc - soak test 1-494,text,true,,74970,121,7,7,http://localhost:8080/todos,12,0,1
1629372129728,29,get all todos,200,,jp@gc - soak test 1-495,text,true,,74993,121,7,7,http://localhost:8080/todos,24,0,2
1629372129770,82,create a to do,201,,jp@gc - soak test 1-498,text,true,,663,258,8,8,http://localhost:8080/todos,34,0,0
1629372129851,1,create a to do-0,200,OK,jp@gc - soak test 1-498,text,true,,309,0,9,9,null,0,0,0
1629372129745,112,create a to do,201,,jp@gc - soak test 1-496,text,true,,663,258,8,8,http://localhost:8080/todos,42,0,0
1629372129856,1,create a to do-0,200,OK,jp@gc - soak test 1-496,text,true,,309,0,9,9,null,0,0,0
1629372129734,123,create a to do,201,,jp@gc - soak test 1-499,text,true,,663,258,8,8,http://localhost:8080/todos,46,0,0
1629372129857,0,create a to do-0,200,OK,jp@gc - soak test 1-499,text,true,,309,0,9,9,null,0,0,0
1629372129831,27,create a to do,201,,jp@gc - soak test 1-494,text,true,,663,258,9,9,http://localhost:8080/todos,14,0,0
1629372129858,0,create a to do-0,200,OK,jp@gc - soak test 1-494,text,true,,309,0,9,9,null,0,0,0
1629372129723,136,create a to do,201,,jp@gc - soak test 1-497,text,true,,662,258,7,7,http://localhost:8080/todos,28,0,0
1629372129859,0,create a to do-0,200,OK,jp@gc - soak test 1-497,text,true,,308,0,9,9,null,0,0,0
1629372129815,45,create a to do,201,,jp@gc - soak test 1-500,text,true,,663,258,9,9,http://localhost:8080/todos,30,0,0
1629372129860,0,create a to do-0,200,OK,jp@gc - soak test 1-500,text,true,,309,0,9,9,null,0,0,0
1629372129783,20,get all todos,200,,jp@gc - soak test 1-493,text,true,,75171,121,8,8,http://localhost:8080/todos,20,0,1
1629372129853,38,create a to do,201,,jp@gc - soak test 1-495,text,true,,663,258,10,10,http://localhost:8080/todos,37,0,0
1629372129891,0,create a to do-0,200,OK,jp@gc - soak test 1-495,text,true,,309,0,10,10,null,0,0,0
1629372129860,39,update a to do,200,,jp@gc - soak test 1-500,text,true,,322,259,10,10,http://localhost:8080/todos/8533,39,0,0
1629372129862,37,update a to do,200,,jp@gc - soak test 1-497,text,true,,322,259,10,10,http://localhost:8080/todos/8529,34,0,0
1629372129856,44,update a to do,200,,jp@gc - soak test 1-498,text,true,,322,259,10,10,http://localhost:8080/todos/8532,41,0,0
1629372129879,22,create a to do,201,,jp@gc - soak test 1-493,text,true,,663,258,10,10,http://localhost:8080/todos,19,0,0
1629372129901,0,create a to do-0,200,OK,jp@gc - soak test 1-493,text,true,,309,0,10,10,null,0,0,0
1629372129857,44,update a to do,200,,jp@gc - soak test 1-499,text,true,,322,259,10,10,http://localhost:8080/todos/8530,41,0,0
1629372129859,45,update a to do,200,,jp@gc - soak test 1-494,text,true,,322,259,10,10,http://localhost:8080/todos/8534,45,0,0
1629372129857,47,update a to do,200,,jp@gc - soak test 1-496,text,true,,322,259,10,10,http://localhost:8080/todos/8531,40,0,0
1629372129892,22,update a to do,200,,jp@gc - soak test 1-495,text,true,,322,259,11,11,http://localhost:8080/todos/8535,22,0,0
1629372129817,28,get all todos,200,,jp@gc - soak test 1-492,text,true,,75226,121,9,9,http://localhost:8080/todos,28,0,1
1629372129902,27,delete to do,200,,jp@gc - soak test 1-499,text,true,,265,212,11,11,http://localhost:8080/todos/8530,27,0,0
1629372129899,31,delete to do,200,,jp@gc - soak test 1-500,text,true,,265,212,11,11,http://localhost:8080/todos/8533,31,0,0
1629372129900,32,delete to do,200,,jp@gc - soak test 1-497,text,true,,265,212,11,11,http://localhost:8080/todos/8529,32,0,0
1629372129900,34,delete to do,200,,jp@gc - soak test 1-498,text,true,,265,212,11,11,http://localhost:8080/todos/8532,34,0,0
1629372129905,29,delete to do,200,,jp@gc - soak test 1-496,text,true,,265,212,11,11,http://localhost:8080/todos/8531,29,0,0
1629372129904,35,delete to do,200,,jp@gc - soak test 1-494,text,true,,265,212,11,11,http://localhost:8080/todos/8534,35,0,0
1629372129902,48,update a to do,200,,jp@gc - soak test 1-493,text,true,,322,259,11,11,http://localhost:8080/todos/8536,43,0,0
1629372129915,35,delete to do,200,,jp@gc - soak test 1-495,text,true,,265,212,11,11,http://localhost:8080/todos/8535,35,0,0
1629372129867,24,get all todos,200,,jp@gc - soak test 1-491,text,true,,75357,121,10,10,http://localhost:8080/todos,23,0,1
1629372129924,49,create a to do,201,,jp@gc - soak test 1-492,text,true,,663,258,11,11,http://localhost:8080/todos,48,0,0
1629372129973,0,create a to do-0,200,OK,jp@gc - soak test 1-492,text,true,,309,0,12,12,null,0,0,0
1629372129915,10,get all todos,200,,jp@gc - soak test 1-490,text,true,,75481,121,11,11,http://localhost:8080/todos,8,0,1
1629372129955,93,create a to do,201,,jp@gc - soak test 1-491,text,true,,663,258,13,13,http://localhost:8080/todos,92,0,0
1629372130048,0,create a to do-0,200,OK,jp@gc - soak test 1-491,text,true,,309,0,13,13,null,0,0,0
