timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629372025621,239,get all todos,200,,jp@gc - spike test 1-1700,text,true,,15809,121,688,688,http://localhost:8080/todos,239,0,2
1629372025625,203,get all todos,200,,jp@gc - spike test 1-1707,text,true,,15809,121,481,481,http://localhost:8080/todos,202,0,0
1629372025632,265,get all todos,200,,jp@gc - spike test 1-1683,text,true,,15809,121,696,696,http://localhost:8080/todos,265,0,1
1629372025628,261,get all todos,200,,jp@gc - spike test 1-1524,text,true,,15809,121,693,693,http://localhost:8080/todos,261,0,2
1629372025626,239,get all todos,200,,jp@gc - spike test 1-1706,text,true,,15809,121,693,693,http://localhost:8080/todos,239,0,1
1629372025631,257,get all todos,200,,jp@gc - spike test 1-1519,text,true,,15809,121,693,693,http://localhost:8080/todos,257,0,0
1629372025560,250,get all todos,200,,jp@gc - spike test 1-1571,text,true,,15809,121,466,466,http://localhost:8080/todos,250,0,1
1629372025589,221,get all todos,200,,jp@gc - spike test 1-1783,text,true,,15809,121,466,466,http://localhost:8080/todos,221,0,1
1629372025594,216,get all todos,200,,jp@gc - spike test 1-1555,text,true,,15809,121,466,466,http://localhost:8080/todos,216,0,1
1629372025633,285,get all todos,200,,jp@gc - spike test 1-1517,text,true,,15809,121,697,697,http://localhost:8080/todos,285,0,0
1629372025332,93,get all todos,200,,jp@gc - spike test 1-1943,text,true,,15809,121,182,182,http://localhost:8080/todos,93,0,1
1629372025634,316,get all todos,200,,jp@gc - spike test 1-1785,text,true,,15809,121,701,701,http://localhost:8080/todos,316,0,0
1629372025564,244,get all todos,200,,jp@gc - spike test 1-1567,text,true,,15809,121,466,466,http://localhost:8080/todos,244,0,1
1629372025271,155,get all todos,200,,jp@gc - spike test 1-1858,text,true,,15809,121,182,182,http://localhost:8080/todos,155,0,85
1629372025350,75,get all todos,200,,jp@gc - spike test 1-1957,text,true,,15809,121,182,182,http://localhost:8080/todos,75,0,1
1629372025299,658,get all todos,200,,jp@gc - spike test 1-1964,text,true,,15809,121,725,725,http://localhost:8080/todos,658,0,1
1629372025270,156,get all todos,200,,jp@gc - spike test 1-1914,text,true,,15809,121,182,182,http://localhost:8080/todos,156,0,96
1629372025585,221,get all todos,200,,jp@gc - spike test 1-1561,text,true,,15809,121,466,466,http://localhost:8080/todos,221,0,1
1629372025275,696,get all todos,200,,jp@gc - spike test 1-1874,text,true,,15809,121,726,726,http://localhost:8080/todos,696,0,22
1629372025561,243,get all todos,200,,jp@gc - spike test 1-1572,text,true,,15809,121,465,465,http://localhost:8080/todos,243,0,1
1629372025297,681,get all todos,200,,jp@gc - spike test 1-1836,text,true,,15809,121,727,727,http://localhost:8080/todos,681,0,1
1629372025293,133,get all todos,200,,jp@gc - spike test 1-1930,text,true,,15809,121,182,182,http://localhost:8080/todos,133,0,1
1629372025275,707,get all todos,200,,jp@gc - spike test 1-1891,text,true,,15809,121,727,727,http://localhost:8080/todos,707,0,20
1629372025299,680,get all todos,200,,jp@gc - spike test 1-1831,text,true,,15809,121,727,727,http://localhost:8080/todos,680,0,0
1629372025343,83,get all todos,200,,jp@gc - spike test 1-1854,text,true,,15809,121,182,182,http://localhost:8080/todos,83,0,1
1629372025290,699,get all todos,200,,jp@gc - spike test 1-1972,text,true,,15809,121,728,728,http://localhost:8080/todos,699,0,10
1629372025290,135,get all todos,200,,jp@gc - spike test 1-1974,text,true,,15809,121,182,182,http://localhost:8080/todos,135,0,3
1629372025566,236,get all todos,200,,jp@gc - spike test 1-1565,text,true,,15809,121,465,465,http://localhost:8080/todos,235,0,1
1629372025290,709,get all todos,200,,jp@gc - spike test 1-1954,text,true,,15809,121,742,742,http://localhost:8080/todos,709,0,8
1629372025627,232,get all todos,200,,jp@gc - spike test 1-1529,text,true,,15809,121,688,688,http://localhost:8080/todos,232,0,0
1629372025267,157,get all todos,200,,jp@gc - spike test 1-1980,text,true,,15809,121,182,182,http://localhost:8080/todos,157,0,30
1629372025303,88,get all todos,200,,jp@gc - spike test 1-1934,text,true,,15809,121,182,182,http://localhost:8080/todos,86,0,1
1629372025272,155,get all todos,200,,jp@gc - spike test 1-1880,text,true,,15809,121,182,182,http://localhost:8080/todos,155,0,46
1629372025272,582,get all todos,200,,jp@gc - spike test 1-1904,text,true,,15809,121,685,685,http://localhost:8080/todos,115,0,30
1629372025314,112,get all todos,200,,jp@gc - spike test 1-1817,text,true,,15817,121,182,182,http://localhost:8080/todos,112,0,0
1629372025299,555,get all todos,200,,jp@gc - spike test 1-1835,text,true,,15809,121,685,685,http://localhost:8080/todos,88,0,0
1629372025558,237,get all todos,200,,jp@gc - spike test 1-1689,text,true,,15809,121,463,463,http://localhost:8080/todos,237,0,1
1629372025326,101,get all todos,200,,jp@gc - spike test 1-1811,text,true,,15809,121,182,182,http://localhost:8080/todos,101,0,27
1629372025558,235,get all todos,200,,jp@gc - spike test 1-1699,text,true,,15809,121,460,460,http://localhost:8080/todos,235,0,1
1629372025566,242,get all todos,200,,jp@gc - spike test 1-1566,text,true,,15809,121,466,466,http://localhost:8080/todos,242,0,7
1629372025272,119,get all todos,200,,jp@gc - spike test 1-1894,text,true,,15809,121,182,182,http://localhost:8080/todos,117,0,23
1629372025619,233,get all todos,200,,jp@gc - spike test 1-1714,text,true,,15809,121,681,681,http://localhost:8080/todos,233,0,1
1629372025593,217,get all todos,200,,jp@gc - spike test 1-1775,text,true,,15809,121,466,466,http://localhost:8080/todos,217,0,1
1629372025627,261,get all todos,200,,jp@gc - spike test 1-1780,text,true,,15809,121,693,693,http://localhost:8080/todos,261,0,1
1629372025274,152,get all todos,200,,jp@gc - spike test 1-1968,text,true,,15817,121,182,182,http://localhost:8080/todos,152,0,83
1629372025629,222,get all todos,200,,jp@gc - spike test 1-1787,text,true,,15809,121,681,681,http://localhost:8080/todos,222,0,0
1629372025563,237,get all todos,200,,jp@gc - spike test 1-1779,text,true,,15809,121,465,465,http://localhost:8080/todos,237,0,1
1629372025345,82,get all todos,200,,jp@gc - spike test 1-1855,text,true,,15817,121,182,182,http://localhost:8080/todos,82,0,1
1629372025267,159,get all todos,200,,jp@gc - spike test 1-1993,text,true,,15809,121,182,182,http://localhost:8080/todos,159,0,91
1629372025435,363,get all todos,200,,jp@gc - spike test 1-1747,text,true,,15809,121,465,465,http://localhost:8080/todos,363,0,1
