timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629372418678,139,get all todos,200,,jp@gc - stress test 1-1588,text,true,,91896,121,450,450,http://localhost:8080/todos,139,0,3
1629372426588,306,get all todos,200,,jp@gc - stress test 1-1719,text,true,,91896,121,2000,2000,http://localhost:8080/todos,95,0,2
1629372424962,1940,get all todos,200,,jp@gc - stress test 1-105,text,true,,91896,121,2000,2000,http://localhost:8080/todos,1940,0,1
1629372424968,1767,get all todos,200,,jp@gc - stress test 1-1274,text,true,,91896,121,2000,2000,http://localhost:8080/todos,739,0,2
1629372426810,147,get all todos,200,,jp@gc - stress test 1-1696,text,true,,91904,121,2000,2000,http://localhost:8080/todos,146,0,2
1629372426649,146,get all todos,200,,jp@gc - stress test 1-1706,text,true,,91896,121,2000,2000,http://localhost:8080/todos,146,0,1
1629372424943,2083,get all todos,200,,jp@gc - stress test 1-1888,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2082,0,2
1629372424875,248,get all todos,200,,jp@gc - stress test 1-531,text,true,,91896,121,2000,2000,http://localhost:8080/todos,248,0,1
1629372424940,621,get all todos,200,,jp@gc - stress test 1-770,text,true,,91896,121,2000,2000,http://localhost:8080/todos,621,0,1
1629372424853,482,get all todos,200,,jp@gc - stress test 1-1834,text,true,,91896,121,2000,2000,http://localhost:8080/todos,482,0,1
1629372424876,324,get all todos,200,,jp@gc - stress test 1-532,text,true,,91896,121,2000,2000,http://localhost:8080/todos,324,0,1
1629372424959,1760,get all todos,200,,jp@gc - stress test 1-112,text,true,,91896,121,2000,2000,http://localhost:8080/todos,1759,0,2
1629372424962,1669,get all todos,200,,jp@gc - stress test 1-1730,text,true,,91896,121,2000,2000,http://localhost:8080/todos,1669,0,2
1629372424955,607,get all todos,200,,jp@gc - stress test 1-1846,text,true,,91896,121,2000,2000,http://localhost:8080/todos,606,0,6
1629372424900,2210,get all todos,200,,jp@gc - stress test 1-1324,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2209,0,6
1629372424923,1729,get all todos,200,,jp@gc - stress test 1-1892,text,true,,91896,121,2000,2000,http://localhost:8080/todos,1729,0,2
1629372424939,1745,get all todos,200,,jp@gc - stress test 1-3,text,true,,91904,121,2000,2000,http://localhost:8080/todos,1745,0,0
1629372424870,1857,get all todos,200,,jp@gc - stress test 1-285,text,true,,91919,121,2000,2000,http://localhost:8080/todos,878,0,1
1629372426816,158,get all todos,200,,jp@gc - stress test 1-1695,text,true,,91904,121,2000,2000,http://localhost:8080/todos,157,0,3
1629372424948,1768,get all todos,200,,jp@gc - stress test 1-4,text,true,,91896,121,2000,2000,http://localhost:8080/todos,800,0,3
1629372426822,40,get all todos,200,,jp@gc - stress test 1-1694,text,true,,91904,121,2000,2000,http://localhost:8080/todos,40,0,2
1629372426645,217,get all todos,200,,jp@gc - stress test 1-1707,text,true,,91904,121,2000,2000,http://localhost:8080/todos,217,0,2
1629372426986,36,get all todos,200,,jp@gc - stress test 1-1690,text,true,,91896,121,2000,2000,http://localhost:8080/todos,35,0,2
1629372424973,1678,get all todos,200,,jp@gc - stress test 1-57,text,true,,91896,121,2000,2000,http://localhost:8080/todos,589,0,2
1629372424917,2114,get all todos,200,,jp@gc - stress test 1-1898,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2114,0,0
1629372427295,66,get all todos,200,,jp@gc - stress test 1-1423,text,true,,91896,121,2000,2000,http://localhost:8080/todos,28,0,1
1629372427292,102,get all todos,200,,jp@gc - stress test 1-1219,text,true,,91896,121,2000,2000,http://localhost:8080/todos,102,0,2
1629372424938,1710,get all todos,200,,jp@gc - stress test 1-1893,text,true,,91896,121,2000,2000,http://localhost:8080/todos,1710,0,20
1629372427284,43,get all todos,200,,jp@gc - stress test 1-1488,text,true,,91896,121,2000,2000,http://localhost:8080/todos,43,0,1
1629372426807,175,get all todos,200,,jp@gc - stress test 1-1700,text,true,,91904,121,2000,2000,http://localhost:8080/todos,175,0,1
1629372426651,211,get all todos,200,,jp@gc - stress test 1-1702,text,true,,91903,121,2000,2000,http://localhost:8080/todos,211,0,3
1629372424890,1491,get all todos,200,,jp@gc - stress test 1-736,text,true,,91896,121,2000,2000,http://localhost:8080/todos,1491,0,0
1629372426633,185,get all todos,200,,jp@gc - stress test 1-1708,text,true,,91896,121,2000,2000,http://localhost:8080/todos,184,0,2
1629372426608,75,get all todos,200,,jp@gc - stress test 1-1718,text,true,,91896,121,2000,2000,http://localhost:8080/todos,37,0,2
1629372424919,2218,get all todos,200,,jp@gc - stress test 1-9,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2218,0,1
1629372427287,74,get all todos,200,,jp@gc - stress test 1-1165,text,true,,91896,121,2000,2000,http://localhost:8080/todos,33,0,2
1629372424881,1894,get all todos,200,,jp@gc - stress test 1-1384,text,true,,91896,121,2000,2000,http://localhost:8080/todos,836,0,0
1629372424878,2231,get all todos,200,,jp@gc - stress test 1-296,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2231,0,1
1629372424940,2088,get all todos,200,,jp@gc - stress test 1-1281,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2088,0,1
1629372426618,279,get all todos,200,,jp@gc - stress test 1-1720,text,true,,91896,121,2000,2000,http://localhost:8080/todos,65,0,2
1629372424867,242,get all todos,200,,jp@gc - stress test 1-302,text,true,,91896,121,2000,2000,http://localhost:8080/todos,242,0,2
1629372424887,2182,get all todos,200,,jp@gc - stress test 1-1839,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2181,0,1
1629372426997,88,get all todos,200,,jp@gc - stress test 1-1510,text,true,,91896,121,2000,2000,http://localhost:8080/todos,88,0,2
1629372424967,2136,get all todos,200,,jp@gc - stress test 1-58,text,true,,91904,121,2000,2000,http://localhost:8080/todos,2136,0,3
1629372427001,51,get all todos,200,,jp@gc - stress test 1-1509,text,true,,91896,121,2000,2000,http://localhost:8080/todos,50,0,2
1629372427001,52,get all todos,200,,jp@gc - stress test 1-1514,text,true,,91896,121,2000,2000,http://localhost:8080/todos,52,0,1
1629372424890,2213,get all todos,200,,jp@gc - stress test 1-538,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2213,0,0
1629372424915,2188,get all todos,200,,jp@gc - stress test 1-1905,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2188,0,22
1629372424883,2201,get all todos,200,,jp@gc - stress test 1-117,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2201,0,3
1629372424965,2144,get all todos,200,,jp@gc - stress test 1-1275,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2144,0,0
1629372427292,69,get all todos,200,,jp@gc - stress test 1-1506,text,true,,91896,121,2000,2000,http://localhost:8080/todos,49,0,1
1629372427290,46,get all todos,200,,jp@gc - stress test 1-1223,text,true,,91896,121,2000,2000,http://localhost:8080/todos,45,0,1
1629372427565,54,get all todos,200,,jp@gc - stress test 1-703,text,true,,91896,121,2000,2000,http://localhost:8080/todos,53,0,1
1629372427284,56,get all todos,200,,jp@gc - stress test 1-1508,text,true,,91896,121,2000,2000,http://localhost:8080/todos,33,0,1
1629372427296,140,get all todos,200,,jp@gc - stress test 1-1512,text,true,,91896,121,2000,2000,http://localhost:8080/todos,140,0,1
1629372424961,600,get all todos,200,,jp@gc - stress test 1-1732,text,true,,91896,121,2000,2000,http://localhost:8080/todos,600,0,1
1629372427286,366,get all todos,200,,jp@gc - stress test 1-831,text,true,,91896,121,2000,2000,http://localhost:8080/todos,151,0,1
1629372424861,2281,get all todos,200,,jp@gc - stress test 1-303,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2281,0,4
1629372424889,2473,get all todos,200,,jp@gc - stress test 1-537,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2473,0,0
1629372424915,2231,get all todos,200,,jp@gc - stress test 1-1910,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2230,0,1
1629372427546,323,get all todos,200,,jp@gc - stress test 1-1516,text,true,,91896,121,2000,2000,http://localhost:8080/todos,322,0,2
1629372424963,2140,get all todos,200,,jp@gc - stress test 1-63,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2140,0,1
1629372427571,48,get all todos,200,,jp@gc - stress test 1-1867,text,true,,91896,121,2000,2000,http://localhost:8080/todos,48,0,2
1629372427301,430,get all todos,200,,jp@gc - stress test 1-1504,text,true,,91896,121,2000,2000,http://localhost:8080/todos,430,0,1
1629372427556,413,get all todos,200,,jp@gc - stress test 1-1526,text,true,,91896,121,2000,2000,http://localhost:8080/todos,62,0,3
1629372427564,208,get all todos,200,,jp@gc - stress test 1-1502,text,true,,91896,121,2000,2000,http://localhost:8080/todos,208,0,1
1629372427299,137,get all todos,200,,jp@gc - stress test 1-1515,text,true,,91896,121,2000,2000,http://localhost:8080/todos,137,0,1
1629372427296,404,get all todos,200,,jp@gc - stress test 1-1481,text,true,,91896,121,2000,2000,http://localhost:8080/todos,404,0,0
1629372427733,75,get all todos,200,,jp@gc - stress test 1-1689,text,true,,91896,121,2000,2000,http://localhost:8080/todos,54,0,1
1629372427738,54,get all todos,200,,jp@gc - stress test 1-1859,text,true,,91896,121,2000,2000,http://localhost:8080/todos,54,0,3
1629372428041,97,get all todos,200,,jp@gc - stress test 1-1467,text,true,,91896,121,2000,2000,http://localhost:8080/todos,96,0,2
1629372424990,2415,get all todos,200,,jp@gc - stress test 1-1270,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2415,0,22
1629372427725,104,get all todos,200,,jp@gc - stress test 1-1781,text,true,,91896,121,2000,2000,http://localhost:8080/todos,62,0,1
1629372427726,99,get all todos,200,,jp@gc - stress test 1-1860,text,true,,91896,121,2000,2000,http://localhost:8080/todos,61,0,1
1629372427741,54,get all todos,200,,jp@gc - stress test 1-1794,text,true,,91896,121,2000,2000,http://localhost:8080/todos,54,0,2
1629372428064,217,get all todos,200,,jp@gc - stress test 1-1438,text,true,,91896,121,2000,2000,http://localhost:8080/todos,217,0,1
1629372428046,200,get all todos,200,,jp@gc - stress test 1-1535,text,true,,91896,121,2000,2000,http://localhost:8080/todos,104,0,1
1629372427576,213,get all todos,200,,jp@gc - stress test 1-1865,text,true,,91896,121,2000,2000,http://localhost:8080/todos,212,0,2
1629372427733,75,get all todos,200,,jp@gc - stress test 1-1861,text,true,,91896,121,2000,2000,http://localhost:8080/todos,54,0,3
1629372427573,45,get all todos,200,,jp@gc - stress test 1-1866,text,true,,91896,121,2000,2000,http://localhost:8080/todos,45,0,0
1629372427744,121,get all todos,200,,jp@gc - stress test 1-1799,text,true,,91896,121,2000,2000,http://localhost:8080/todos,121,0,1
1629372428072,208,get all todos,200,,jp@gc - stress test 1-1425,text,true,,91896,121,2000,2000,http://localhost:8080/todos,208,0,0
1629372428030,74,get all todos,200,,jp@gc - stress test 1-1586,text,true,,91896,121,2000,2000,http://localhost:8080/todos,56,0,2
1629372427745,120,get all todos,200,,jp@gc - stress test 1-1795,text,true,,91896,121,2000,2000,http://localhost:8080/todos,120,0,1
1629372428091,156,get all todos,200,,jp@gc - stress test 1-1536,text,true,,91896,121,2000,2000,http://localhost:8080/todos,155,0,3
1629372427743,559,get all todos,200,,jp@gc - stress test 1-1687,text,true,,91896,121,2000,2000,http://localhost:8080/todos,559,0,2
1629372427550,239,get all todos,200,,jp@gc - stress test 1-1513,text,true,,91896,121,2000,2000,http://localhost:8080/todos,68,0,2
1629372428039,430,get all todos,200,,jp@gc - stress test 1-1473,text,true,,91896,121,2000,2000,http://localhost:8080/todos,147,0,1
1629372428398,86,get all todos,200,,jp@gc - stress test 1-826,text,true,,91904,121,2000,2000,http://localhost:8080/todos,72,0,2
1629372428299,51,get all todos,200,,jp@gc - stress test 1-1537,text,true,,91896,121,2000,2000,http://localhost:8080/todos,43,0,2
1629372428072,253,get all todos,200,,jp@gc - stress test 1-1424,text,true,,91896,121,2000,2000,http://localhost:8080/todos,252,0,1
1629372428043,402,get all todos,200,,jp@gc - stress test 1-1466,text,true,,91896,121,2000,2000,http://localhost:8080/todos,96,0,1
1629372428059,188,get all todos,200,,jp@gc - stress test 1-1443,text,true,,91904,121,2000,2000,http://localhost:8080/todos,188,0,1
1629372428044,202,get all todos,200,,jp@gc - stress test 1-1462,text,true,,91896,121,2000,2000,http://localhost:8080/todos,113,0,0
1629372428056,408,get all todos,200,,jp@gc - stress test 1-1448,text,true,,91896,121,2000,2000,http://localhost:8080/todos,408,0,0
1629372427788,134,get all todos,200,,jp@gc - stress test 1-1496,text,true,,91896,121,2000,2000,http://localhost:8080/todos,134,0,2
1629372427570,384,get all todos,200,,jp@gc - stress test 1-1683,text,true,,91896,121,2000,2000,http://localhost:8080/todos,48,0,1
1629372427731,37,get all todos,200,,jp@gc - stress test 1-1678,text,true,,91896,121,2000,2000,http://localhost:8080/todos,37,0,1
1629372428066,442,get all todos,200,,jp@gc - stress test 1-1432,text,true,,91896,121,2000,2000,http://localhost:8080/todos,441,0,1
1629372424965,2531,get all todos,200,,jp@gc - stress test 1-1358,text,true,,91896,121,2000,2000,http://localhost:8080/todos,2531,0,1
1629372428070,541,get all todos,200,,jp@gc - stress test 1-1426,text,true,,91896,121,2000,2000,http://localhost:8080/todos,541,0,1
1629372427566,436,get all todos,200,,jp@gc - stress test 1-1498,text,true,,91896,121,2000,2000,http://localhost:8080/todos,436,0,1
1629372428433,66,get all todos,200,,jp@gc - stress test 1-1489,text,true,,91896,121,2000,2000,http://localhost:8080/todos,40,0,4
1629372427569,226,get all todos,200,,jp@gc - stress test 1-1497,text,true,,91896,121,2000,2000,http://localhost:8080/todos,225,0,2
1629372427553,437,get all todos,200,,jp@gc - stress test 1-1503,text,true,,91896,121,2000,2000,http://localhost:8080/todos,437,0,2
1629372427565,257,get all todos,200,,jp@gc - stress test 1-1684,text,true,,91896,121,2000,2000,http://localhost:8080/todos,53,0,1
1629372427568,413,get all todos,200,,jp@gc - stress test 1-1682,text,true,,91896,121,2000,2000,http://localhost:8080/todos,412,0,1
1629372428295,80,get all todos,200,,jp@gc - stress test 1-1224,text,true,,91896,121,2000,2000,http://localhost:8080/todos,79,0,2
1629372428019,54,get all todos,200,,jp@gc - stress test 1-1580,text,true,,91896,121,2000,2000,http://localhost:8080/todos,54,0,3
1629372428032,673,get all todos,200,,jp@gc - stress test 1-1474,text,true,,91896,121,2000,2000,http://localhost:8080/todos,67,0,1
